Mutation Operator,Mutated SMILES,Predicted Lipophilicity,SMILES,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
Atom Deletion,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)C[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.9625024406563774,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)C[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,837.919,4.764900000000005,13,3,2.0,0.1435322584063179,10,201.05999999999997,0.3749852180480957,0.3347838997840881,0.7232718110084534,0.0072058771504089235,0.06521914675831794,0.04388214610517025,0.1206190288066864,0.0229747636243701,0.051421936601400375,0.652762234210968,0.618111115694046,0.10849160552024842,0.31885045021772385,0.7939547896385193,0.9832525730133057,0.19568230211734772,0.42602105140686036,0.047033609822392464,0.2602189049124718,0.02557199988514185,0.19546955972909927,0.08685599938035012,0.5450928390026093,0.7924823880195617,0.3272120922803879,0.24695782214403153,0.04136780649423599,0.9128178119659424,0.30798091292381286,0.08730766754597426,0.5803088068962097,-5.486476154588223,131.00302321059723,103.23391353954158,44.73926074855077,-10.220287871026802,4.366252158426417,2.962502699381547,102.27316395452041,-6.648271990884696,4.777546154656161,94.92051182628926,86.77782086079876,93.54400930593253,77.25862737495153,9.848778596355176,8.452888716556805,95.52151996898023,91.62466072120976,73.82706475378053,20.317952694842962,39.55021326095385,29.89530825901512,42.303218301667314,16.130283055447848,68.55370298565336,16.86700271423032,50.94998061264056,67.35168670027142,84.21868941450174,40.28693291973633,77.47188832880961,70.91896083753393,37.533927879022876,93.05932531989143,94.57153935633967,60.06203955021326,89.18185343156262,60.37223730127956,79.37184955409073,89.8797983714618,36.13803799922451,87.9410624272974,73.20666925164792,95.424583171772,71.81077937184955,98.17758821248546,90.81039162466072,3.9162466072120976,67.58433501357115,23.768902675455603,97.16944552151996,96.20007754943776,84.87785963551764,44.20317952694843,99.26328034121752,79.7595967429236,93.67972082202404,1.9775106630476929,73.20666925164792
Stereochemistry Alteration,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,2.626114713330149,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,853.9180000000001,3.735700000000003,14,4,2.0,0.12978619445124503,11,221.29,0.36007612124085425,0.33658915758132935,0.7261968970298767,0.008006490184925497,0.05919225476682186,0.050060422718524934,0.12060592323541641,0.02727214526385069,0.06232805885374546,0.6266083359718323,0.5894421815872193,0.10040543451905251,0.3452013939619064,0.8127036809921264,0.980450427532196,0.16554035022854804,0.36617147028446195,0.04994102865457535,0.2115023046731949,0.02377612190321088,0.1724868580698967,0.06408524736762047,0.5103795111179352,0.7555668234825135,0.2779004395008087,0.21968497484922409,0.03452063910663128,0.8844990253448486,0.24228320717811586,0.07864287756383419,0.6043176054954529,-5.627251808324212,128.39624643863013,98.91233412522463,44.08276023043446,-11.012656290173306,4.332756471076978,2.6261148625898985,99.76749564373362,-6.010710906027713,3.5073521648989114,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.71849554090733,72.74137262504847,20.35672741372625,39.89918573090345,31.097324544397054,40.98487785963552,18.14656843737883,68.55370298565336,20.279177975959673,54.168282279953466,63.784412563008914,83.52074447460255,37.37882900348973,79.41062427297402,72.74137262504847,36.370686312524235,92.67157813105855,94.33889104303994,60.95385808452889,86.42884839084917,58.16207832493214,75.2617293524622,87.04924389298178,34.664598681659555,86.11865063978286,69.56184567661884,94.61031407522296,68.01085692128731,97.4020938348197,88.01861186506397,2.9468786351298952,68.3986041101202,20.08530438154323,96.7429236138038,95.46335789065529,84.6839860411012,36.17681271810779,99.10818146568437,72.6250484683986,90.57774331136099,5.389685924777045,64.75378053509112
Atom Insertion,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4cccc(O)c4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.3108879358795464,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4cccc(O)c4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,869.917,3.441300000000003,15,5,2.0,0.11142140429131203,11,241.51999999999995,0.5053069144487381,0.19490253925323486,0.6877743482589722,0.01876060450449586,0.06183256283402443,0.07862194627523422,0.1402583971619606,0.026892614923417567,0.05494514591991902,0.665090823173523,0.451716148853302,0.06178298778831959,0.3112937092781067,0.7272848963737488,0.9839571595191956,0.2188240334391594,0.3643049120903015,0.05360933560878038,0.29229253679513933,0.08631524108350278,0.2769071996212006,0.06721939817070961,0.4424034237861633,0.6033056616783142,0.2760293036699295,0.29643275439739225,0.058795574307441714,0.9217573165893554,0.38795146048069,0.09541642107069492,0.540266364812851,-5.88518607528307,99.69309050462583,107.58637246672149,-9.984537960623797,-10.527516857809122,3.8219803061482454,2.3108879218292566,104.45612504695578,-6.258388395778465,7.923456335648948,95.424583171772,68.63125242341992,95.63784412563008,90.75222954633578,9.848778596355176,6.242729740209383,96.47150058162077,94.33889104303994,83.0554478480031,12.252811167119038,34.74214811942613,40.480806514152775,41.56649864288484,28.421868941450175,70.76386196200077,19.852656068243505,51.99689802248933,68.67002714230321,78.48003101977511,24.428072896471498,77.2004652966266,66.42109344707251,37.727801473439314,93.36952307095774,94.33889104303994,62.11709965102753,90.34509499806126,86.19620007754943,87.12679333074836,87.47576580069794,31.17487398216363,79.95347033734005,69.29042264443582,96.66537417603722,77.23924001550989,98.52656068243505,93.1756494765413,4.963164017060876,65.99457153935634,14.191547111283443,90.18999612252811,96.70414889492051,19.232260566110895,41.139976735168666,96.54905001938735,66.57619232260566,96.51027530050406,3.606048856145793,86.89414501744862
Ring Modification,CC[C@H](C[C@@]1(O)[C@@H](OC(=O)c2ccccc2)[C@@H]2[C@]3(OC(C)=O)CO[C@@H]3C[C@H](O)[C@@]2(C)C(=O)[C@H](OC(C)=O)CC1(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,2.923269466398966,CC[C@H](C[C@@]1(O)[C@@H](OC(=O)c2ccccc2)[C@@H]2[C@]3(OC(C)=O)CO[C@@H]3C[C@H](O)[C@@]2(C)C(=O)[C@H](OC(C)=O)CC1(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,857.9500000000003,4.205700000000004,14,4,2.0,0.13987515648342186,11,221.28999999999996,0.3083357736468315,0.2608251214027405,0.661119568347931,0.014151727221906185,0.19476733952760697,0.12265200093388558,0.33761211931705476,0.05472441241145134,0.13005303591489792,0.6634489178657532,0.7549180746078491,0.127192734926939,0.355611851811409,0.8045037150382995,0.9807275056838989,0.07105619795620441,0.08275640830397606,0.044533764198422435,0.16890013515949248,0.021427658013999464,0.13451545536518097,0.0757692165672779,0.45298299193382263,0.9142209053039551,0.29823033809661864,0.14514142721891404,0.05369982607662678,0.8687944412231445,0.2100968062877655,0.10041520670056343,0.7511358857154846,-5.481269587572711,121.71648514893407,92.56227688737647,59.38037832373088,-10.859861659413596,4.527416158647857,2.923269723731522,101.64542640507989,-5.548110312503371,4.338280199037225,95.19193485847228,80.26366808840636,94.59092671578131,86.02171384257464,9.848778596355176,8.181465684373787,96.47150058162077,93.67972082202404,66.92516479255525,16.362931368747574,31.17487398216363,37.30127956572315,63.164017060876304,42.57464133385033,84.17991469561845,35.750290810391625,67.00271423032183,68.55370298565336,89.41450174486235,44.47460255913145,79.99224505622334,72.04342768514928,36.448235750290806,88.17371074059713,84.17991469561845,59.17022101589763,82.24117875145404,55.17642497091896,66.7700659170221,88.63900736719658,31.678945327646375,94.7654129507561,71.22915858860023,91.54711128344319,75.64947654129507,97.05312136487011,86.00232648313299,5.583559519193486,75.10663047692904,23.962776269872045,95.50213260953858,94.30011632415665,89.68592477704536,37.92167506785576,99.49592865451726,78.71267933307483,92.98177588212485,8.220240403257076,70.6863125242342
Stereochemistry Alteration,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.565189601199392,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,14,4,2.0,0.12978619445124503,11,221.28999999999996,0.36581374108791354,0.31159751713275907,0.6602497577667237,0.008531636907719076,0.05715845562517643,0.03842425495386124,0.11913995668292046,0.02447279207408428,0.06754545271396636,0.6371204614639282,0.6097624599933624,0.0770621882751584,0.32960491329431535,0.7742162346839905,0.9774094104766846,0.24352073073387145,0.4662494361400604,0.046050043776631355,0.27833651900291445,0.031847323291003704,0.2153097227215767,0.08664658665657043,0.4967512130737305,0.729301393032074,0.3098055005073547,0.28311081826686857,0.03866509199142456,0.8999103665351867,0.32949252128601075,0.08507356029003858,0.6071487963199615,-5.6530067518510005,126.15844998611745,96.60569056993629,46.264949953702896,-11.153002783792607,4.3572073730592304,2.565189926988456,99.61929299572753,-5.935345562335895,3.278859355819571,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.67972082202404,73.09034509499806,19.038386971694454,31.058549825513765,31.75649476541295,40.480806514152775,13.997673516867003,68.32105467235363,17.991469561845676,55.253974408685536,65.21907716169058,83.94726638231873,29.93408297789841,78.32493214424196,69.60062039550213,35.323768902675454,93.4858472276076,94.61031407522296,59.75184179914695,89.8797983714618,66.14967041488948,81.62078324932143,89.84102365257851,34.1993020550601,84.91663435440093,72.12097712291586,96.4327258627375,70.29856533540132,97.78984102365257,91.62466072120976,3.683598293912369,68.55370298565336,19.464908879410622,96.23885226832105,94.92051182628926,85.88600232648314,34.81969755719271,99.22450562233423,71.65568049631639,90.34509499806126,5.777433113609926,62.85381930981
Substructure Replacement,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H](N)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(N)C[C@H](OC(=O)[C@@H](N)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1.9332146997090816,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H](N)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(N)C[C@H](OC(=O)[C@@H](N)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,850.966,3.634900000000007,14,4,2.0,0.12954194804294333,11,238.66000000000003,0.5577776730060577,0.46708043217658995,0.8340838313102722,0.011681384919211269,0.09147915840148926,0.0380119925364852,0.11911683157086372,0.05442424193024635,0.15263717323541642,0.6494578719139099,0.8892511248588562,0.13726553395390512,0.6327968239784241,0.7213685512542725,0.9787582039833069,0.15256282985210418,0.2931975036859512,0.07291158698499203,0.20160148590803145,0.04069595877081156,0.15900083929300307,0.10099961012601852,0.5558129072189331,0.66181720495224,0.29791119396686555,0.3417488068342209,0.03329209145158529,0.7990972757339477,0.31365302503108977,0.13504539281129838,0.7257597982883454,-5.92742020591337,117.74978844998597,87.18124438974716,44.96747146350041,-9.867604488017331,4.250174601794811,1.9332147511085545,91.50886213788017,-5.625337498682524,5.150765266544642,95.1143854207057,71.84955409073284,94.59092671578131,86.02171384257464,9.848778596355176,7.1345482745250095,96.47150058162077,94.26134160527336,86.11865063978286,28.538193098100038,57.3090345094998,35.246219464908876,48.00310197751066,13.726250484683986,68.32105467235363,35.59519193485847,69.44552151996898,66.96393951143854,94.64908879410623,46.529662659945714,95.03683598293912,65.83947266382319,35.827840248158196,92.40015509887553,93.8348196975572,66.88639007367196,85.45948041876696,71.73322993408297,72.85769678169834,91.35323768902676,36.7972082202404,82.43505234587049,71.22915858860023,97.28576967816983,67.50678557580457,95.26948429623884,90.96549050019387,10.97324544397053,73.71074059713067,13.493602171384257,94.92051182628926,93.09810003877472,85.11050794881737,47.731678945327644,98.79798371461807,58.86002326483133,76.38619620007755,7.754943776657619,75.5719271035285
Atom Swapping,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.5915405640321625,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,14,4,2.0,0.12978619445124503,11,221.28999999999996,0.3690257579088211,0.313214099407196,0.6864721655845643,0.007987610111013056,0.0576062198728323,0.042367860302329065,0.11490030437707902,0.024853175133466722,0.06152134500443936,0.6306055426597595,0.6012769103050232,0.08611706085503101,0.33451235443353655,0.7962758541107178,0.9790336132049561,0.20569149702787398,0.4202631890773773,0.04734908863902092,0.25445756912231443,0.028367896378040314,0.19605415910482407,0.08270415738224983,0.496009373664856,0.7438596844673157,0.29954059720039367,0.2619645059108734,0.037576324120163915,0.8947320818901062,0.2986320436000824,0.08220251500606537,0.6043513178825378,-5.646112000638434,127.14940708554795,97.40182882142126,45.36265677255511,-11.105821218558324,4.349726015371661,2.591540834807309,99.71100285099035,-5.970252675199414,3.3081267603121303,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.67972082202404,73.36176812718108,19.038386971694454,34.58704924389298,31.058549825513765,40.635905389685924,15.66498642884839,67.54556029468786,18.224117875145403,54.01318340442032,64.24970918960837,83.86971694455215,33.307483520744476,78.55758045754168,71.22915858860023,36.02171384257464,93.136874757658,94.53276463745638,60.178363706863124,88.9104303993796,63.43544009305933,79.41062427297402,89.41450174486235,34.1993020550601,85.80845288871656,71.38425746413338,95.81233036060489,69.716944552152,97.55719271035285,90.30632027917797,3.179526948429624,68.43737882900349,19.658782473827063,96.47150058162077,95.23070957735555,85.49825513765025,35.09112058937573,99.10818146568437,72.04342768514928,90.50019387359441,5.661108956960062,63.24156649864288
Atom Swapping,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.5915405640321625,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,14,4,2.0,0.12978619445124503,11,221.28999999999996,0.3690257579088211,0.313214099407196,0.6864721655845643,0.007987610111013056,0.0576062198728323,0.042367860302329065,0.11490030437707902,0.024853175133466722,0.06152134500443936,0.6306055426597595,0.6012769103050232,0.08611706085503101,0.33451235443353655,0.7962758541107178,0.9790336132049561,0.20569149702787398,0.4202631890773773,0.04734908863902092,0.25445756912231443,0.028367896378040314,0.19605415910482407,0.08270415738224983,0.496009373664856,0.7438596844673157,0.29954059720039367,0.2619645059108734,0.037576324120163915,0.8947320818901062,0.2986320436000824,0.08220251500606537,0.6043513178825378,-5.646112000638434,127.14940708554795,97.40182882142126,45.36265677255511,-11.105821218558324,4.349726015371661,2.591540834807309,99.71100285099035,-5.970252675199414,3.3081267603121303,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.67972082202404,73.36176812718108,19.038386971694454,34.58704924389298,31.058549825513765,40.635905389685924,15.66498642884839,67.54556029468786,18.224117875145403,54.01318340442032,64.24970918960837,83.86971694455215,33.307483520744476,78.55758045754168,71.22915858860023,36.02171384257464,93.136874757658,94.53276463745638,60.178363706863124,88.9104303993796,63.43544009305933,79.41062427297402,89.41450174486235,34.1993020550601,85.80845288871656,71.38425746413338,95.81233036060489,69.716944552152,97.55719271035285,90.30632027917797,3.179526948429624,68.43737882900349,19.658782473827063,96.47150058162077,95.23070957735555,85.49825513765025,35.09112058937573,99.10818146568437,72.04342768514928,90.50019387359441,5.661108956960062,63.24156649864288
Atom Swapping,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.5915405640321625,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,14,4,2.0,0.12978619445124503,11,221.28999999999996,0.3690257579088211,0.313214099407196,0.6864721655845643,0.007987610111013056,0.0576062198728323,0.042367860302329065,0.11490030437707902,0.024853175133466722,0.06152134500443936,0.6306055426597595,0.6012769103050232,0.08611706085503101,0.33451235443353655,0.7962758541107178,0.9790336132049561,0.20569149702787398,0.4202631890773773,0.04734908863902092,0.25445756912231443,0.028367896378040314,0.19605415910482407,0.08270415738224983,0.496009373664856,0.7438596844673157,0.29954059720039367,0.2619645059108734,0.037576324120163915,0.8947320818901062,0.2986320436000824,0.08220251500606537,0.6043513178825378,-5.646112000638434,127.14940708554795,97.40182882142126,45.36265677255511,-11.105821218558324,4.349726015371661,2.591540834807309,99.71100285099035,-5.970252675199414,3.3081267603121303,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.67972082202404,73.36176812718108,19.038386971694454,34.58704924389298,31.058549825513765,40.635905389685924,15.66498642884839,67.54556029468786,18.224117875145403,54.01318340442032,64.24970918960837,83.86971694455215,33.307483520744476,78.55758045754168,71.22915858860023,36.02171384257464,93.136874757658,94.53276463745638,60.178363706863124,88.9104303993796,63.43544009305933,79.41062427297402,89.41450174486235,34.1993020550601,85.80845288871656,71.38425746413338,95.81233036060489,69.716944552152,97.55719271035285,90.30632027917797,3.179526948429624,68.43737882900349,19.658782473827063,96.47150058162077,95.23070957735555,85.49825513765025,35.09112058937573,99.10818146568437,72.04342768514928,90.50019387359441,5.661108956960062,63.24156649864288
Atom Swapping,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2.5915405640321625,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.918,3.7357000000000036,14,4,2.0,0.12978619445124503,11,221.28999999999996,0.3690257579088211,0.313214099407196,0.6864721655845643,0.007987610111013056,0.0576062198728323,0.042367860302329065,0.11490030437707902,0.024853175133466722,0.06152134500443936,0.6306055426597595,0.6012769103050232,0.08611706085503101,0.33451235443353655,0.7962758541107178,0.9790336132049561,0.20569149702787398,0.4202631890773773,0.04734908863902092,0.25445756912231443,0.028367896378040314,0.19605415910482407,0.08270415738224983,0.496009373664856,0.7438596844673157,0.29954059720039367,0.2619645059108734,0.037576324120163915,0.8947320818901062,0.2986320436000824,0.08220251500606537,0.6043513178825378,-5.646112000638434,127.14940708554795,97.40182882142126,45.36265677255511,-11.105821218558324,4.349726015371661,2.591540834807309,99.71100285099035,-5.970252675199414,3.3081267603121303,95.15316013958899,73.20666925164792,94.59092671578131,86.02171384257464,9.848778596355176,7.212097712291586,96.47150058162077,93.67972082202404,73.36176812718108,19.038386971694454,34.58704924389298,31.058549825513765,40.635905389685924,15.66498642884839,67.54556029468786,18.224117875145403,54.01318340442032,64.24970918960837,83.86971694455215,33.307483520744476,78.55758045754168,71.22915858860023,36.02171384257464,93.136874757658,94.53276463745638,60.178363706863124,88.9104303993796,63.43544009305933,79.41062427297402,89.41450174486235,34.1993020550601,85.80845288871656,71.38425746413338,95.81233036060489,69.716944552152,97.55719271035285,90.30632027917797,3.179526948429624,68.43737882900349,19.658782473827063,96.47150058162077,95.23070957735555,85.49825513765025,35.09112058937573,99.10818146568437,72.04342768514928,90.50019387359441,5.661108956960062,63.24156649864288
